,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
0,1,Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,220.0,220.0,Hair Oil & Serum,4.1,"This Product contains Garlic Oil that is known to help proper digestion, maintain proper cholesterol levels, support cardiovascular and also build immunity.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
172,173,Pain Relief - Oil,Beauty & Hygiene,Hair Care,Himalaya Wellness,90.0,100.0,Hair Oil & Serum,4.4,"Pain Massage Oil is a herbal oil which provides relief from neuromuscular pain and the pain associated with arthritis.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
359,360,Hair Spa Oil Therapy,Beauty & Hygiene,Hair Care,Prakrta,370.5,390.0,Hair Oil & Serum,5.0,"Champi’ (Oil Massage) is a time tested way to give deep nourishment to your scalp and repair hair texture. Our blend is made of pure extra virgin olive oil, virgin coconut oil, cold pressed oils of blackseed and enriched with therapeutic grade essential oils of rosemary, peppermint and lavender that have potent anti-oxidants and vitamins naturally good for hair and scalp health. Essential oils help stimulate blood flow to your scalp and improve the nourishment to the hair follicle and cold-pressed base oils nourish the scalp. We sincerely recommend that you take about half hour on sundays and instead of feeding your scalp and hair chemicals, use our highly nutritive Hair Spa Oil and we are confident you will love the difference."
766,767,Evening Primrose Oil - Vegetarian Capsule (500 mg),Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,295.0,295.0,Hair Oil & Serum,5.0,"This Product contains Evening Primrose Oil that is known to help relive premenstrual tension, Skin allergies and dryness, nourish Scalp, hair and also reduce joint inflammation and Stiffness.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
1340,1341,Natural Nourishing Hair Oil,Beauty & Hygiene,Hair Care,The Moms Co,393.0,393.0,Hair Oil & Serum,5.0,"Our Nourishing Hair Oil is a toxin-free powerful combination of 8 oils and Natural Vitamin E that strengthens hair, adds shine and prevents hair loss. Natural Nourishing Hair Oil made with 8 oils that nourish and strengthens hair, stimulates hair roots by improving its structure & growth, strengthens hair by adding shine, preventing hair fall, and removes dandruff. Also, it makes your hair look clean and healthy nourishes hair from within. Get the best natural hair oils with our natural nourishing hair oil. Enriched with the goodness of 8 oils and natural vitamin e that strengthen hair, add shine & prevents hair loss."
1848,1849,Onion Herbal Hair Growth Oil,Beauty & Hygiene,Hair Care,Soulflower,546.0,650.0,Hair Oil & Serum,4.2,"A real onion herbal hair oil treatment that accelerates robust hair growth and prevents hair loss, providing long & lustrous hair. This super Onion oil, rich in natural Keratin Sulfur, works into your root follicles & acts as a nourishing absorber for stronger hair. Ratanjot herb supports hair pigmentation for healthy & long-lasting hair color. Combining a concentration of 20 essential oils & ayurvedic extracts, this proprietary formula by Soulflower promises the long locks you’ve always dreamt of! Our power players include Onion Oil, Ratanjot herb, Castor Oil, Coconut Oil, Olive Oil, Sesame Oil, Grapeseed Oil, Argan Oil, Almond Oil, Neem Oil, Amla Oil, Brahmi oil, Hibiscus Oil, Moringa Oil, Tamanu Seed Oil, Geranium Oil, Henna Oil, Ashwagandha Oil, Wintergreen Oil, Cedarwood Oil, Vitamin E, Vetiver Essential Oil, Orange Essential Oil and natural extracts of Onion. ?This oil is non-greasy, non-sticky and an easy absorbent. Just a few drops on the scalp will make your hair soft & silky. This complete hair regime provides all-moisture support and is the best alternative to chemical-laden anti-hair fall products. HEALTHIER, FASTER, LONGER REGROWTH: Soulflower Herbal Onion Hair Oil unclogs hair follicles and provides scalp conditioning. The natural Sulfur present in the onion oil helps in fighting the bacterial infection. This makes the scalp healthy and keeps it naturally hydrated. Continuous moisture and nourishment ensure faster and longer hair regrowth. SCALP CLEANSING AND DANDRUFF CONTROL Dandruff means a dry, itchy and irritated scalp. This Oil enriched with 100% Natural Onion extracts and neem oil, helps you get rid of a scaly scalp. Orange essential oil present cleanses your hair follicles thoroughly, in a way that the dead skin is removed but all the important nutrients are retained. Pure amla oil (vitamin C) present helps in increasing scalp skin health. HAIR FULL OF LUSTER, SHINE & SOFTNESS Onion Herbal Hair Oil helps you get shiny and lustrous hair locks and adds a natural softness that you won’t be able to resist touching your long hair. Hibiscus, Moringa, Tamanu seed oil present in this Hair oil helps you to get ultimate sheen and smoothness you can flaunt a different level of confidence every day. SULFUR KERATIN RICHNESS Onions consist of a high amount of sulfur that increases the level of Keratin in the hair follicle. This Herbal Onion Hair Oil is made with rich in sulfur, natural onion extracts that consist of amino acids and cysteine. These accelerate the buildup of Keratin in the hair and increase hair strength and shine. HAIR PIGMENTATION AND SLOWING OF PREMATURE GREYING Pure and Natural Ratanjot extract combined with the richness of Henna oil fused in this unique blend, help in slowing down premature greying of hair. These herbs are well-known for strengthening the hair pigmentation and restoring the greys, to give you lustrous beautiful black hair. THICKER HAIR & REDUCED BREAKAGE Castor Oil and Vitamin E act as natural covering to the hair by giving it strength and impart fatty oils that make the hair stronger and thicker · An exquisite blend of Orange, Sandalwood, Cedarwood and Vetiver essential oils that create a natural ayurvedic aroma suppressing the pungent smell of onion · 100% Pure and Natural · Free from Chemicals and Synthetic Color.Ideal for All Hair and Scalp Types."
1907,1908,Ayurvedic Scalp & Hair Oil,Beauty & Hygiene,Hair Care,Kesh King,330.0,330.0,Hair Oil & Serum,4.3,Kesh King Ayurvedic Oil is a proprietary medicinal preparation without any side effects. It is a complete solution for hair related problems especially hair fall and deeply nourish the hair. It is prepared using Tel pak vidhi as prescribed in Ayurveda using 21 precious herbs cooked in Sesame oil.
2355,2356,Naturals Aloe Vera Oil,Beauty & Hygiene,Hair Care,Dabur Vatika,191.25,225.0,Hair Oil & Serum,4.1,"The new Dabur Vatika Naturals Aloe Vera Hair oil is infused with 7 Ayurvedic herbs. It is specifically formulated for the Indian woman and her hair issues of dull hair. This hair oil protects hair against damage, thus promoting hair growth. Aloe Vera is rich in polysaccharides known for their moisture retention properties and ability to help the proteins maintain their structure. It replenishes nutrients, fortifies the dull malnourished hair making them healthy and nourished. Our Sourcing Process, Sourced from the best in the world, Aloe Vera from Arabia repairs damage for intense moisturization for healthy hair."
2995,2996,Vatika - Enriched Coconut with Hibiscus Hair Oil,Beauty & Hygiene,Hair Care,Dabur Vatika,84.0,84.0,Hair Oil & Serum,4.2,"Start using Dabur Vatika Enriched Coconut Oil with a hibiscus hair oil to control hair fall, the all-natural way. Hibiscus extracts promote strong hair to help control hair fall and maintain the natural colour of your hair while coconut deeply nourishes your scalp to encourage healthy hair growth."
3866,3867,Akshara Castor Oil,Beauty & Hygiene,Hair Care,Akshara Herbals,40.0,40.0,Hair Oil & Serum,4.3,"Akshara Castor Oil is 100% Pure Natural Oil obtained by pressing the seeds of the Ricinus Communis (Castor) plant, rich in Vitamin E, essential fatty acids, minerals and proteins. Castor Oil may be taken internally for its laxative action, or used externally for its emollient effect on the skin.  For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
